manufacturer,model,version,fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note,tire_type_enc,driving_style_enc
Volkswagen,Golf,e-Golf,0.610891204,75140,67,7.97,Electricity,Summer tires,1,0,1,Normal,11.9,0,0,45.0,-0.8,Restreichweite 100km = Total 167km,0,1
Volkswagen,Golf,e-Golf,0.52755787,74977,106,12.29,Electricity,Summer tires,1,1,1,Moderate,11.6,0,0,52.0,-1.1,CCS St.Katarina Restreichweite 56km = Total 162km,0,0
Volkswagen,Golf,e-Golf,0.485891204,74871,66,7.59,Electricity,Summer tires,1,0,1,Normal,11.5,0,0,44.0,-1.2,Restreichweite 105km = Total 171km,0,1
Volkswagen,Golf,e-Golf,0.444224537,74805,99,11.48,Electricity,Summer tires,1,0,1,Moderate,11.6,0,0,41.0,-1.1,Restreichweite 72km = Total 171km,0,0
Volkswagen,Golf,e-Golf,0.360891204,74706,112,12.76,Electricity,Summer tires,1,1,1,Moderate,11.4,0,0,40.0,-1.3,Restreichweite 50km = Total 162km,0,0
Volkswagen,Golf,e-Golf,0.15255787,74594,13,1.67,Electricity,Summer tires,1,0,1,Normal,12.9,0,0,39.0,0.2,25.5°C,0,1
Volkswagen,Golf,e-Golf,0.110891204,74581,79,8.45,Electricity,Summer tires,1,0,1,Moderate,10.7,0,0,43.0,-2.0,18.5°C,0,0
Volkswagen,Golf,e-Golf,31.05.2021,74502,114,13.79,Electricity,Summer tires,1,1,1,Normal,12.1,0,0,57.0,-0.6,Restreichweite 34km = Total 148km,0,1
Volkswagen,Golf,e-Golf,29.05.2021,74361,116,14.38,Electricity,Summer tires,1,1,1,Moderate,12.4,0,0,59.0,-0.3,CCS,0,0
Volkswagen,Golf,e-Golf,28.05.2021,74219,145,16.96,Electricity,Summer tires,1,1,1,Moderate,11.7,0,0,55.0,-1.0,CCS Rastplatz Mumpf-Süd ,0,0
Volkswagen,Golf,e-Golf,27.05.2021,74074,41,4.75,Electricity,Summer tires,1,0,1,Normal,11.6,0,0,44.0,-1.1,16.5°C,0,1
Volkswagen,Golf,e-Golf,26.05.2021,74033,137,16.02,Electricity,Summer tires,1,1,1,Normal,11.7,0,0,39.0,-1.0,Restreichweite 12km = Total 149km,0,1
Volkswagen,Golf,e-Golf,24.05.2021,73874,61,7.14,Electricity,Summer tires,1,0,1,Moderate,11.7,0,0,39.0,-1.0,13.5°C,0,0
Volkswagen,Golf,e-Golf,0.860196759,73697,79,8.37,Electricity,Summer tires,1,1,1,Moderate,10.6,0,0,42.0,-2.1,16°C,0,0
Volkswagen,Golf,e-Golf,0.860196759,73618,55,6.93,Electricity,Summer tires,1,0,1,Moderate,12.6,0,0,36.0,-0.1,Gratisladung in Uniklinik Balgrist,0,0
Volkswagen,Golf,e-Golf,0.818530093,73563,69,8.83,Electricity,Summer tires,1,0,1,Normal,12.8,0,0,45.0,0.1,Restreichweite 92km = Total 161km,0,1
Volkswagen,Golf,e-Golf,0.776863426,73494,69,9.59,Electricity,Summer tires,1,0,1,Normal,13.9,0,0,43.0,1.2,Restreichweite 85km = Total 154km,0,1
Volkswagen,Golf,e-Golf,0.735196759,73425,63,8.76,Electricity,Summer tires,1,0,1,Normal,13.9,0,0,36.0,1.2,11°C,0,1
Volkswagen,Golf,e-Golf,0.610196759,73362,91,11.28,Electricity,Summer tires,1,0,1,Normal,12.4,0,0,44.0,-0.3,Restreichweite 70km = Total 161km,0,1
Volkswagen,Golf,e-Golf,0.485196759,73271,103,12.26,Electricity,Summer tires,1,0,1,Normal,11.9,0,0,42.0,-0.8,12°C,0,1
Volkswagen,Golf,e-Golf,0.401863426,73168,112,11.87,Electricity,Summer tires,1,1,1,Moderate,10.6,0,0,53.0,-2.1,21°C,0,0
Volkswagen,Golf,e-Golf,0.401863426,73056,31,3.63,Electricity,Summer tires,1,0,1,Normal,11.7,0,0,40.0,-1.0,27.5°C,0,1
Volkswagen,Golf,e-Golf,0.318530093,73025,59,8.61,Electricity,Summer tires,1,0,1,Normal,14.6,0,0,37.0,1.9,12.5°C,0,1
Volkswagen,Golf,e-Golf,0.235196759,72966,78,10.76,Electricity,Summer tires,1,0,1,Normal,13.8,0,0,45.0,1.1,"13.0°C, Restreichweite 72km = Total 150km",0,1
Volkswagen,Golf,e-Golf,0.193530093,72888,21,3.02,Electricity,Summer tires,1,0,1,Normal,14.4,0,0,45.0,1.7,14.5°C,0,1
Volkswagen,Golf,e-Golf,0.151863426,72867,30,4.11,Electricity,Summer tires,1,0,1,Normal,13.7,0,0,49.0,1.0,14.5°C,0,1
Volkswagen,Golf,e-Golf,0.110196759,72837,49,7.2,Electricity,Summer tires,1,0,1,Normal,14.7,0,0,43.0,2.0,9.0°C,0,1
Volkswagen,Golf,e-Golf,29.04.2021,72788,108,13.93,Electricity,Summer tires,1,0,1,Normal,12.9,0,0,53.0,0.2,"14°C, Restreichweite 35km = Total 143km",0,1
Volkswagen,Golf,e-Golf,28.04.2021,72680,52,5.62,Electricity,Summer tires,1,0,1,Moderate,10.8,0,0,46.0,-1.9,18°C,0,0
Volkswagen,Golf,e-Golf,27.04.2021,72628,51,6.17,Electricity,Summer tires,1,0,1,Normal,12.1,0,0,45.0,-0.6,19.0°C,0,1
Volkswagen,Golf,e-Golf,25.04.2021,72577,71,8.31,Electricity,Summer tires,1,0,1,Normal,11.7,0,0,44.0,-1.0,17.5°C,0,1
Volkswagen,Golf,e-Golf,0.942835648,72506,59,6.9,Electricity,Summer tires,1,0,1,Normal,11.7,0,0,44.0,-1.0,14.5°C,0,1
Volkswagen,Golf,e-Golf,0.859502315,72447,57,8.09,Electricity,Summer tires,1,0,1,Normal,14.2,0,0,48.0,1.5,13.5°C,0,1
Volkswagen,Golf,e-Golf,0.692835648,72390,73,11.02,Electricity,Winter tires,1,0,1,Normal,15.1,0,0,42.0,2.4,11°C,1,1
Volkswagen,Golf,e-Golf,0.609502315,72317,82,10.0,Electricity,Winter tires,1,0,1,Moderate,12.2,0,0,49.0,-0.5,7.5°C,1,0
Volkswagen,Golf,e-Golf,0.567835648,72235,41,7.26,Electricity,Winter tires,1,0,1,Normal,17.7,0,0,48.0,5.0,2°C,1,1
Volkswagen,Golf,e-Golf,0.442835648,72194,109,12.61,Electricity,Winter tires,1,0,1,Moderate,11.57,0,0,46.0,-1.13,16°C,1,0
Volkswagen,Golf,e-Golf,0.359502315,72085,55,6.16,Electricity,Winter tires,1,0,1,Moderate,11.2,0,0,40.0,-1.5,10°C,1,0
Volkswagen,Golf,e-Golf,0.317835648,72030,16,2.45,Electricity,Winter tires,1,0,1,Normal,15.3,0,0,48.0,2.6,2°C,1,1
Volkswagen,Golf,e-Golf,0.317835648,72014,99,15.25,Electricity,Winter tires,1,0,1,Normal,15.4,0,0,50.0,2.7,"3.5°C, Restreichweite 17km = Total 116km",1,1
Volkswagen,Golf,e-Golf,0.276168981,71915,21,3.97,Electricity,Winter tires,1,0,1,Normal,18.9,0,0,46.0,6.2,1°C,1,1
Volkswagen,Golf,e-Golf,0.234502315,71894,41,4.96,Electricity,Winter tires,1,0,1,Moderate,12.1,0,0,58.0,-0.6,7°C,1,0
Volkswagen,Golf,e-Golf,0.192835648,71853,103,11.23,Electricity,Winter tires,1,0,1,Moderate,10.9,0,0,43.0,-1.8,18°C,1,0
Volkswagen,Golf,e-Golf,0.067835648,71750,27,3.4,Electricity,Winter tires,1,0,1,Moderate,12.6,0,0,49.0,-0.1,"6°C, Restreichweite 137km = Total 164km",1,0
Volkswagen,Golf,e-Golf,31.03.2021,71723,104,13.31,Electricity,Winter tires,1,1,1,Normal,12.8,1,0,57.0,0.1,"23.5°C, Restreichweite 40km = Total 144km",1,1
Volkswagen,Golf,e-Golf,30.03.2021,71619,21,2.75,Electricity,Winter tires,1,0,1,Normal,13.1,1,0,47.0,0.4,"15°C, Restreichweite 149km = Total 170km",1,1
Volkswagen,Golf,e-Golf,28.03.2021,71479,65,7.35,Electricity,Winter tires,1,0,1,Normal,11.3,1,0,42.0,-1.4,"15°C, Restreichweite 106km = Total 171km",1,1
Volkswagen,Golf,e-Golf,25.03.2021,71414,120,14.04,Electricity,Winter tires,1,0,1,Normal,11.7,1,0,46.0,-1.0,"15.5°C, Restreichweite 37km = Total 157km",1,1
Volkswagen,Golf,e-Golf,0.98380787,71294,85,11.47,Electricity,Winter tires,1,1,1,Normal,13.5,1,0,51.0,0.8,"7.5°C, Restreichweite 71km = Total 156km",1,1
Volkswagen,Golf,e-Golf,0.942141204,71209,31,5.2,Electricity,Winter tires,1,0,1,Normal,16.8,1,0,47.0,4.1,"5.0°C, Restreichweite 111km = Total 141km",1,1
Volkswagen,Golf,e-Golf,0.900474537,71178,80,13.04,Electricity,Winter tires,1,0,1,Normal,16.3,1,0,47.0,3.6,"4.5°C, Restreichweite 38km = Total 118km",1,1
Volkswagen,Golf,e-Golf,0.73380787,71098,70,10.92,Electricity,Winter tires,1,0,1,Normal,15.6,1,0,48.0,2.9,"6°C, Restreichweite 74km = Total 144km",1,1
Volkswagen,Golf,e-Golf,0.73380787,71028,101,16.36,Electricity,Winter tires,1,1,1,Normal,16.2,1,0,50.0,3.5,"4.5°C, Restreichweite 17km = Total 118km Laden CCS Bad Zurzach nur Parkgebühr Fr.1.-",1,1
Volkswagen,Golf,e-Golf,0.692141204,70927,80,13.52,Electricity,Winter tires,1,0,1,Normal,16.9,1,0,46.0,4.2,"4°C,Restreichweite 37km = Total 117km",1,1
Volkswagen,Golf,e-Golf,0.525474537,70847,89,14.68,Electricity,Winter tires,1,0,1,Normal,16.5,1,0,47.0,3.8,Restreichweite 22km = Total 111km,1,1
Volkswagen,Golf,e-Golf,0.35880787,70758,60,8.88,Electricity,Winter tires,1,0,1,Normal,14.8,1,0,45.0,2.1,"6.5°C, Restreichweite 77km = Total 137km",1,1
Volkswagen,Golf,e-Golf,0.23380787,70698,106,14.84,Electricity,Winter tires,1,0,1,Normal,14.0,1,0,40.0,1.3,"5°C, Restreichweite 21km = Total 127km",1,1
Volkswagen,Golf,e-Golf,0.067141204,70592,105,14.28,Electricity,Winter tires,1,1,1,Normal,13.6,1,0,48.0,0.9,Restreichweite 31km = Total 136km,1,1
Volkswagen,Golf,e-Golf,28.02.2021,70487,33,5.04,Electricity,Winter tires,1,0,1,Normal,15.3,1,0,39.0,2.6,Restreichweite 128km = Total 161km,1,1
Volkswagen,Golf,e-Golf,24.02.2021,70454,98,13.23,Electricity,Winter tires,1,0,1,Normal,13.5,1,0,45.0,0.8,"15.5°C, Restreichweite 32km = Total 130km",1,1
Volkswagen,Golf,e-Golf,0.858113426,70356,119,17.13,Electricity,Winter tires,1,1,1,Normal,14.4,1,0,52.0,1.7,"6.0°C, Restreichweite 11km = Total 130km",1,1
Volkswagen,Golf,e-Golf,0.816446759,70237,55,8.19,Electricity,Winter tires,1,0,1,Normal,14.9,1,0,43.0,2.2,"7.5°C, Restreichweite 66km = Total 121km",1,1
Volkswagen,Golf,e-Golf,0.774780093,70182,73,13.72,Electricity,Winter tires,1,0,1,Normal,18.8,1,0,43.0,6.1,"3.0°C, Restreichweite 27km = Total 100km",1,1
Volkswagen,Golf,e-Golf,0.566446759,70109,61,11.4,Electricity,Winter tires,1,0,1,Normal,18.7,1,0,49.0,6.0,"-5.5°C, Restreichweite 52km = Total 112km",1,1
